YEAR,MONTH,GDD
2020,02,0
2020,03,20.5
2020,04,108.35
2020,05,343.8
2020,06,553.75
2020,07,648.7
2020,08,580.45
2020,09,390.5
2020,10,113.35
2020,11,56.05
2020,12,3.45
2021,01,0.55
2021,02,3.75
2021,03,63.05
2021,04,123.9
2021,05,342.75
2021,06,596.35
2021,07,656.85
2021,08,581.2
2021,09,494.25
2021,10,273
2021,11,34.75
2021,12,3.4
2022,01,0
2022,02,0
2022,03,10.6
2022,04,53.3
2022,05,362.35
2022,06,532.45
2022,07,628.7
2022,08,578.1
2022,09,433.35
2022,10,228.1
2022,11,24.25
2022,12,0
2023,01,0
2023,02,0
2023,03,0
2023,04,66.05
2023,05,502.75
2023,06,639.4
2023,07,572.15
2023,08,574
2023,09,492.15
2023,10,235.35
2023,11,31.9
2023,12,4.85
2024,01,0
